Date,Count,flight_type,airline_operator,country
Quarter 1 2005,77,Domestic,Asian Spirit,Philippines
Quarter 2 2005,56,Domestic,Asian Spirit,Philippines
Quarter 3 2005,30,Domestic,Asian Spirit,Philippines
Quarter 4 2005,14,Domestic,Asian Spirit,Philippines
Quarter 1 2005,399,Domestic,Asiana Airlines,South Korea
Quarter 2 2005,107,Domestic,Asiana Airlines,South Korea
Quarter 1 2005,599,Domestic,Seair,Philippines
Quarter 2 2005,755,Domestic,Seair,Philippines
Quarter 3 2005,508,Domestic,Seair,Philippines
Quarter 4 2005,600,Domestic,Seair,Philippines
Quarter 2 2005,7361,International,Air Asia,Malaysia
Quarter 3 2005,7446,International,Air Asia,Malaysia
Quarter 4 2005,7740,International,Air Asia,Malaysia
Quarter 1 2005,5775,International,Asiana Airlines,South Korea
Quarter 2 2005,4928,International,Asiana Airlines,South Korea
Quarter 3 2005,5982,International,Asiana Airlines,South Korea
Quarter 4 2005,4264,International,Asiana Airlines,South Korea
Quarter 4 2005,669,International,CRJ Airways,China
Quarter 3 2005,346,International,Far Eastern Air Transport (FAT),Taiwan
Quarter 4 2005,1497,International,Far Eastern Air Transport (FAT),Taiwan
Quarter 2 2005,3493,International,Tiger Airways,Singapore
Quarter 3 2005,5153,International,Tiger Airways,Singapore
Quarter 4 2005,9925,International,Tiger Airways,Singapore
Quarter 1 2006,87,Domestic,Asian Spirit,Philippines
Quarter 4 2006,2395,Domestic,Cebu Pacific,Philippines
Quarter 1 2006,925,Domestic,Seair,Philippines
Quarter 2 2006,699,Domestic,Seair,Philippines
Quarter 3 2006,470,Domestic,Seair,Philippines
Quarter 4 2006,369,Domestic,Seair,Philippines
Quarter 1 2006,10615,International,Air Asia,Malaysia
Quarter 2 2006,13056,International,Air Asia,Malaysia
Quarter 3 2006,11140,International,Air Asia,Malaysia
Quarter 4 2006,13216,International,Air Asia,Malaysia
Quarter 1 2006,4,International,Asian Spirit,Philippines
Quarter 1 2006,7611,International,Asiana Airlines,South Korea
Quarter 2 2006,5352,International,Asiana Airlines,South Korea
Quarter 3 2006,6014,International,Asiana Airlines,South Korea
Quarter 4 2006,4863,International,Asiana Airlines,South Korea
Quarter 1 2006,662,International,CRJ Airways,China
Quarter 2 2006,951,International,CRJ Airways,China
Quarter 3 2006,354,International,CRJ Airways,China
Quarter 2 2006,32,International,Seair,Philippines
Quarter 1 2006,13663,International,Tiger Airways,Singapore
Quarter 2 2006,19589,International,Tiger Airways,Singapore
Quarter 3 2006,20940,International,Tiger Airways,Singapore
Quarter 4 2006,21519,International,Tiger Airways,Singapore
