Year,Poverty Incidence (%),Region,Province
1991,7.1,NCR - National Capital Region,All
2006,4.7,NCR - National Capital Region,All
2009,3.6,NCR - National Capital Region,All
2012,3.9,NCR - National Capital Region,All
2015,3.9,NCR - National Capital Region,All
2006,4.9,NCR - National Capital Region,1st District
2009,5.1,NCR - National Capital Region,1st District
2012,6.2,NCR - National Capital Region,1st District
2015,5.1,NCR - National Capital Region,1st District
2006,4.9,NCR - National Capital Region,2nd District
2009,3.3,NCR - National Capital Region,2nd District
2012,2.4,NCR - National Capital Region,2nd District
2015,2.9,NCR - National Capital Region,2nd District
2006,4.6,NCR - National Capital Region,3rd District
2009,4.5,NCR - National Capital Region,3rd District
2012,3.8,NCR - National Capital Region,3rd District
2015,4.1,NCR - National Capital Region,3rd District
2006,4.4,NCR - National Capital Region,4th District
2009,2.4,NCR - National Capital Region,4th District
2012,4.8,NCR - National Capital Region,4th District
2015,4.5,NCR - National Capital Region,4th District
1991,42.7,CAR - Corillera Administrative Region,All
2006,26,CAR - Corillera Administrative Region,All
2009,25.1,CAR - Corillera Administrative Region,All
2012,22.8,CAR - Corillera Administrative Region,All
2015,19.7,CAR - Corillera Administrative Region,All
2006,49.3,CAR - Corillera Administrative Region,Abra
2009,48.8,CAR - Corillera Administrative Region,Abra
2012,37.4,CAR - Corillera Administrative Region,Abra
2015,28.9,CAR - Corillera Administrative Region,Abra
2006,46.8,CAR - Corillera Administrative Region,Apayao
2009,45.7,CAR - Corillera Administrative Region,Apayao
2012,61.4,CAR - Corillera Administrative Region,Apayao
2015,34.9,CAR - Corillera Administrative Region,Apayao
2006,5.8,CAR - Corillera Administrative Region,Benguet
2009,6.1,CAR - Corillera Administrative Region,Benguet
2012,3.7,CAR - Corillera Administrative Region,Benguet
2015,3.5,CAR - Corillera Administrative Region,Benguet
2006,28,CAR - Corillera Administrative Region,Ifugao
2009,32.1,CAR - Corillera Administrative Region,Ifugao
2012,42.4,CAR - Corillera Administrative Region,Ifugao
2015,32.5,CAR - Corillera Administrative Region,Ifugao
